timestamp, system, entity, est-latitude, est-longitude, est-depth, value (m)
1676288800.368, lauv-simulator-1, CTD, 41.18386946, -8.70571100, 0.096, 0.164
1676288800.359, lauv-simulator-1, Depth Sensor, 41.18386946, -8.70571100, 0.063, 0.099
1676288800.468, lauv-simulator-1, CTD, 41.18386947, -8.70571100, 0.051, 0.000
1676288800.459, lauv-simulator-1, Depth Sensor, 41.18386946, -8.70571100, 0.096, 0.047
1676288800.568, lauv-simulator-1, CTD, 41.18386947, -8.70571100, 0.079, 0.000
1676288800.559, lauv-simulator-1, Depth Sensor, 41.18386947, -8.70571100, 0.051, 0.082
1676288800.668, lauv-simulator-1, CTD, 41.18386948, -8.70571100, 0.111, 0.128
1676288800.659, lauv-simulator-1, Depth Sensor, 41.18386948, -8.70571100, 0.079, 0.115
1676288800.768, lauv-simulator-1, CTD, 41.18386949, -8.70571100, 0.066, 0.064
1676288800.759, lauv-simulator-1, Depth Sensor, 41.18386949, -8.70571100, 0.111, 0.061
1676288800.868, lauv-simulator-1, CTD, 41.18386949, -8.70571100, 0.097, 0.000
1676288800.859, lauv-simulator-1, Depth Sensor, 41.18386949, -8.70571100, 0.066, 0.100
1676288800.968, lauv-simulator-1, CTD, 41.18386950, -8.70571100, 0.053, 0.000
1676288800.959, lauv-simulator-1, Depth Sensor, 41.18386950, -8.70571100, 0.097, 0.048
1676288801.068, lauv-simulator-1, CTD, 41.18386951, -8.70571100, 0.055, 0.000
1676288801.060, lauv-simulator-1, Depth Sensor, 41.18386950, -8.70571100, 0.053, 0.055
1676288801.168, lauv-simulator-1, CTD, 41.18386951, -8.70571100, 0.085, 0.198
1676288801.159, lauv-simulator-1, Depth Sensor, 41.18386951, -8.70571100, 0.055, 0.088
1676288801.268, lauv-simulator-1, CTD, 41.18386952, -8.70571100, 0.008, 0.000
1676288801.259, lauv-simulator-1, Depth Sensor, 41.18386952, -8.70571100, 0.085, 0.000
1676288801.368, lauv-simulator-1, CTD, 41.18386952, -8.70571100, 0.013, 0.000
1676288801.359, lauv-simulator-1, Depth Sensor, 41.18386952, -8.70571100, 0.008, 0.014
1676288801.468, lauv-simulator-1, CTD, 41.18386953, -8.70571100, 0.018, 0.000
1676288801.459, lauv-simulator-1, Depth Sensor, 41.18386953, -8.70571100, 0.013, 0.018
1676288801.568, lauv-simulator-1, CTD, 41.18386953, -8.70571100, 0.052, 0.126
1676288801.560, lauv-simulator-1, Depth Sensor, 41.18386953, -8.70571100, 0.018, 0.056
1676288801.668, lauv-simulator-1, CTD, 41.18386954, -8.70571100, 0.066, 0.056
1676288801.660, lauv-simulator-1, Depth Sensor, 41.18386954, -8.70571100, 0.052, 0.067
1676288801.768, lauv-simulator-1, CTD, 41.18386955, -8.70571100, 0.047, 0.000
1676288801.759, lauv-simulator-1, Depth Sensor, 41.18386955, -8.70571100, 0.066, 0.045
1676288801.868, lauv-simulator-1, CTD, 41.18386955, -8.70571100, 0.062, 0.049
1676288801.860, lauv-simulator-1, Depth Sensor, 41.18386955, -8.70571100, 0.047, 0.064
1676288801.968, lauv-simulator-1, CTD, 41.18386956, -8.70571100, 0.037, 0.284
1676288801.960, lauv-simulator-1, Depth Sensor, 41.18386956, -8.70571100, 0.062, 0.035
1676288802.068, lauv-simulator-1, CTD, 41.18386956, -8.70571100, 0.081, 0.000
1676288802.059, lauv-simulator-1, Depth Sensor, 41.18386956, -8.70571100, 0.037, 0.086
1676288802.168, lauv-simulator-1, CTD, 41.18386957, -8.70571100, 0.076, 0.000
1676288802.160, lauv-simulator-1, Depth Sensor, 41.18386957, -8.70571100, 0.081, 0.075
1676288802.269, lauv-simulator-1, CTD, 41.18386957, -8.70571100, 0.007, 0.025
1676288802.260, lauv-simulator-1, Depth Sensor, 41.18386957, -8.70571100, 0.076, 0.000
1676288802.368, lauv-simulator-1, CTD, 41.18386958, -8.70571100, 0.001, 0.008
1676288802.360, lauv-simulator-1, Depth Sensor, 41.18386958, -8.70571100, 0.007, 0.000
1676288802.468, lauv-simulator-1, CTD, 41.18386958, -8.70571100, 0.098, 0.000
1676288802.459, lauv-simulator-1, Depth Sensor, 41.18386958, -8.70571100, 0.001, 0.108
1676288802.568, lauv-simulator-1, CTD, 41.18386959, -8.70571100, 0.054, 0.204
1676288802.560, lauv-simulator-1, Depth Sensor, 41.18386959, -8.70571100, 0.098, 0.050
1676288802.668, lauv-simulator-1, CTD, 41.18386959, -8.70571100, 0.063, 0.248
1676288802.659, lauv-simulator-1, Depth Sensor, 41.18386959, -8.70571100, 0.054, 0.064
1676288802.768, lauv-simulator-1, CTD, 41.18386960, -8.70571100, 0.040, 0.000
1676288802.759, lauv-simulator-1, Depth Sensor, 41.18386960, -8.70571099, 0.063, 0.037
1676288802.868, lauv-simulator-1, CTD, 41.18386961, -8.70571100, 0.013, 0.161
1676288802.860, lauv-simulator-1, Depth Sensor, 41.18386961, -8.70571100, 0.040, 0.010
1676288802.968, lauv-simulator-1, CTD, 41.18386961, -8.70571100, 0.008, 0.011
1676288802.960, lauv-simulator-1, Depth Sensor, 41.18386961, -8.70571100, 0.013, 0.007
1676288803.068, lauv-simulator-1, CTD, 41.18386961, -8.70571100, 0.060, 0.129
1676288803.059, lauv-simulator-1, Depth Sensor, 41.18386961, -8.70571100, 0.008, 0.066
1676288803.168, lauv-simulator-1, CTD, 41.18386962, -8.70571100, 0.071, 0.000
1676288803.160, lauv-simulator-1, Depth Sensor, 41.18386962, -8.70571100, 0.060, 0.072
1676288803.268, lauv-simulator-1, CTD, 41.18386962, -8.70571100, 0.050, 0.156
1676288803.259, lauv-simulator-1, Depth Sensor, 41.18386962, -8.70571100, 0.071, 0.048
1676288803.368, lauv-simulator-1, CTD, 41.18386963, -8.70571100, 0.049, 0.074
1676288803.359, lauv-simulator-1, Depth Sensor, 41.18386963, -8.70571100, 0.050, 0.049
1676288803.468, lauv-simulator-1, CTD, 41.18386963, -8.70571100, 0.004, 0.005
1676288803.459, lauv-simulator-1, Depth Sensor, 41.18386963, -8.70571100, 0.049, 0.000
1676288803.568, lauv-simulator-1, CTD, 41.18386964, -8.70571100, 0.000, 0.194
1676288803.560, lauv-simulator-1, Depth Sensor, 41.18386964, -8.70571100, 0.004, 0.000
1676288803.668, lauv-simulator-1, CTD, 41.18386964, -8.70571100, 0.000, 0.000
1676288803.659, lauv-simulator-1, Depth Sensor, 41.18386964, -8.70571100, 0.000, 0.000
1676288803.768, lauv-simulator-1, CTD, 41.18386965, -8.70571100, 0.074, 0.000
1676288803.760, lauv-simulator-1, Depth Sensor, 41.18386965, -8.70571100, 0.000, 0.081
1676288803.868, lauv-simulator-1, CTD, 41.18386965, -8.70571100, 0.007, 0.348
1676288803.859, lauv-simulator-1, Depth Sensor, 41.18386965, -8.70571100, 0.074, 0.000
