timestamp, system, entity, est-latitude, est-longitude, est-depth, value (m)
1678715726.856, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.035, 0.000
1678715726.848, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.042, 0.034
1678715726.956, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.079, 0.033
1678715726.948, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.035, 0.084
1678715727.056, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.009, 0.000
1678715727.048, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.079, 0.002
1678715727.156, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.093, 0.095
1678715727.148, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.009, 0.102
1678715727.256, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.119, 0.000
1678715727.248, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.093, 0.121
1678715727.356, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.073, 0.000
1678715727.348, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.119, 0.068
1678715727.456, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.067, 0.139
1678715727.448, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.073, 0.067
1678715727.556, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.089, 0.080
1678715727.548, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.067, 0.091
1678715727.656, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.040, 0.037
1678715727.648, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.089, 0.035
1678715727.756, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.049, 0.000
1678715727.748, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.040, 0.050
1678715727.856, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.087, 0.059
1678715727.848, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.049, 0.091
1678715727.956, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.138, 0.141
1678715727.948, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.087, 0.144
1678715728.056, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.117, 0.043
1678715728.048, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.138, 0.115
1678715728.156, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.151, 0.000
1678715728.148, lauv-simulator-1, Depth Sensor, 41.18387000, -8.70571100, 0.117, 0.155
1678715728.256, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.023, 0.000
1678715728.248, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.151, 0.010
1678715728.356, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.002, 0.137
1678715728.348, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.023, 0.000
1678715728.456, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.112, 0.086
1678715728.448, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.002, 0.123
1678715728.556, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.043, 0.089
1678715728.548, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.112, 0.036
1678715728.656, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.047, 0.015
1678715728.648, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.043, 0.048
1678715728.756, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.088, 0.000
1678715728.748, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.047, 0.092
1678715728.856, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.068, 0.126
1678715728.848, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.088, 0.066
1678715728.956, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.155, 0.099
1678715728.948, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.068, 0.164
1678715729.056, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.051, 0.051
1678715729.048, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.155, 0.041
1678715729.156, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.094, 0.000
1678715729.148, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.051, 0.099
1678715729.256, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.110, 0.000
1678715729.248, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.094, 0.112
1678715729.356, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.065, 0.185
1678715729.348, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.110, 0.061
1678715729.456, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.083, 0.108
1678715729.448, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.065, 0.085
1678715729.556, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.051, 0.133
1678715729.548, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.083, 0.048
1678715729.656, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.005, 0.027
1678715729.648, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.051, 0.000
1678715729.756, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.093, 0.000
1678715729.748, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.005, 0.101
1678715729.856, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.083, 0.273
1678715729.848, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.093, 0.082
1678715729.956, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.109, 0.000
1678715729.948, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.083, 0.112
1678715730.056, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.128, 0.081
1678715730.048, lauv-simulator-1, Depth Sensor, 41.18387000, -8.70571100, 0.109, 0.130
1678715730.156, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.110, 0.116
1678715730.148, lauv-simulator-1, Depth Sensor, 41.18386999, -8.70571100, 0.128, 0.108
1678715730.256, lauv-simulator-1, CTD, 41.18386999, -8.70571100, 0.087, 0.068
