timestamp,DVL-filtered,validity,Echo,rpm,depth,Label
1678722202.116,6.57,VALID,30.0,0,0.067,SURFACED
1678722202.316,6.551,VALID,30.0,0,0.028,SURFACED
1678722202.516,6.474,VALID,30.0,0,0.0,SURFACED
1678722202.716,6.547,VALID,30.0,0,0.015,SURFACED
1678722202.916,6.612,VALID,30.0,0,0.059,SURFACED
1678722203.116,6.578,VALID,29.698,0,0.131,SURFACED
1678722203.316,6.598,VALID,30.0,0,0.036,SURFACED
1678722203.516,6.585,VALID,29.974,0,0.022,SURFACED
1678722203.716,6.465,VALID,30.0,0,0.035,SURFACED
1678722203.916,6.572,VALID,30.0,0,0.0,SURFACED
1678722204.116,6.522,VALID,30.0,0,0.035,SURFACED
1678722204.316,6.532,VALID,30.0,0,0.02,SURFACED
1678722204.516,6.509,VALID,29.891,0,0.099,SURFACED
1678722204.716,6.491,VALID,30.0,0,0.072,SURFACED
1678722204.916,6.573,VALID,30.0,0,0.0,SURFACED
1678722205.116,6.585,VALID,29.573,0,0.099,SURFACED
1678722205.316,6.612,VALID,30.0,0,0.058,SURFACED
1678722205.516,6.568,VALID,29.826,0,0.012,SURFACED
1678722205.716,6.525,VALID,30.0,0,0.0,SURFACED
1678722205.916,6.495,VALID,30.0,0,0.066,SURFACED
1678722206.116,6.68,VALID,30.0,0,0.035,SURFACED
1678722206.316,6.582,VALID,29.727,0,0.053,SURFACED
1678722206.516,6.564,VALID,30.0,0,0.0,SURFACED
1678722206.716,6.583,VALID,30.0,0,0.025,SURFACED
1678722206.916,6.492,VALID,29.966,0,0.042,SURFACED
1678722207.116,6.535,VALID,30.0,0,0.149,SURFACED
1678722207.316,6.576,VALID,27.547,210,0.088,SURFACED
1678722207.516,6.524,VALID,13.308,276,0.006,SURFACED
1678722207.716,6.519,VALID,7.49,291,0.046,SURFACED
1678722207.916,6.536,VALID,5.322,307,0.126,SURFACED
1678722208.116,6.555,VALID,3.813,323,0.0,SURFACED
1678722208.316,6.615,VALID,2.807,338,0.0,SURFACED
1678722208.516,6.541,VALID,2.595,354,0.035,SURFACED
1678722208.716,6.478,VALID,2.176,370,0.123,SURFACED
1678722208.916,6.661,VALID,1.847,385,0.061,SURFACED
1678722209.116,6.544,VALID,1.335,401,0.024,SURFACED
1678722209.316,6.617,VALID,1.208,417,0.016,SURFACED
1678722209.516,6.572,VALID,1.121,432,0.042,SURFACED
1678722209.716,6.441,VALID,1.115,447,0.0,SURFACED
1678722209.916,6.468,VALID,1.122,464,0.061,SURFACED
1678722210.116,6.524,VALID,0.838,480,0.135,SURFACED
1678722210.316,6.586,VALID,1.119,495,0.08,SURFACED
1678722210.516,6.551,VALID,0.476,511,0.0,SURFACED
1678722210.716,5.963,VALID,0.314,527,0.083,SURFACED
1678722210.916,6.037,VALID,0.725,542,0.025,SURFACED
1678722211.116,5.963,VALID,0.794,558,0.068,SURFACED
1678722211.316,6.038,VALID,0.827,574,0.098,SURFACED
1678722211.516,6.114,VALID,0.2,589,0.035,SURFACED
1678722211.716,6.087,VALID,0.383,605,0.037,SURFACED
1678722211.916,6.055,VALID,0.664,621,0.02,SURFACED
1678722212.116,6.001,VALID,0.2,636,0.123,SURFACED
1678722212.316,6.154,VALID,0.555,652,0.055,SURFACED
1678722212.516,5.437,VALID,0.397,668,0.012,SURFACED
1678722212.716,5.428,VALID,0.833,683,0.0,SURFACED
1678722212.916,5.43,VALID,0.2,699,0.062,SURFACED
1678722213.116,5.394,VALID,0.255,715,0.011,SURFACED
1678722213.316,5.437,VALID,0.2,730,0.055,SURFACED
1678722213.516,5.382,VALID,0.2,746,0.0,SURFACED
1678722213.716,5.155,VALID,0.2,762,0.0,SURFACED
1678722213.916,5.131,VALID,0.208,777,0.048,SURFACED
1678722214.116,5.206,VALID,0.361,793,0.1,SURFACED
1678722214.316,5.173,VALID,0.562,809,0.0,SURFACED
1678722214.516,5.168,VALID,0.471,825,0.041,SURFACED
1678722214.716,5.178,VALID,0.2,840,0.007,SURFACED
1678722214.916,5.177,VALID,0.885,856,0.074,SURFACED
1678722215.116,5.164,VALID,0.283,872,0.068,SURFACED
1678722215.316,5.188,VALID,0.2,887,0.116,SURFACED
1678722215.516,5.283,VALID,0.246,903,0.061,SURFACED
1678722215.716,5.109,VALID,0.347,919,0.0,SURFACED
1678722215.916,5.509,VALID,0.2,934,0.104,SURFACED
1678722216.116,5.574,VALID,0.2,950,0.046,SURFACED
1678722216.316,5.439,VALID,0.265,966,0.045,SURFACED
1678722216.516,5.454,VALID,0.63,981,0.075,SURFACED
1678722216.716,5.443,VALID,0.213,997,0.056,SURFACED
1678722216.916,5.357,VALID,0.2,1013,0.0,SURFACED
1678722217.116,5.503,VALID,0.484,1028,0.047,SURFACED
1678722217.316,5.49,VALID,0.593,1044,0.124,SURFACED
1678722217.516,5.376,VALID,0.284,1060,0.102,SURFACED
1678722217.716,5.482,VALID,0.302,1071,0.019,SURFACED
1678722217.916,5.445,VALID,0.2,1072,0.074,SURFACED
1678722218.116,5.422,VALID,0.36,1070,0.052,SURFACED
1678722218.316,5.493,VALID,0.375,1069,0.024,SURFACED
1678722218.516,5.504,VALID,0.217,1068,0.0,SURFACED
1678722218.716,5.445,VALID,0.403,1067,0.036,SURFACED
1678722218.916,5.406,VALID,0.492,1065,0.0,SURFACED
1678722219.116,5.41,VALID,0.312,1064,0.0,SURFACED
1678722219.316,5.494,VALID,0.262,1063,0.0,SURFACED
1678722219.516,5.462,VALID,0.438,1062,0.0,SURFACED
1678722219.716,5.48,VALID,0.311,1060,0.0,SURFACED
1678722219.916,5.485,VALID,0.286,1059,0.0,SURFACED
1678722220.116,5.414,VALID,0.308,1058,0.08,SURFACED
1678722220.316,5.493,VALID,0.331,1057,0.055,SURFACED
1678722220.516,5.529,VALID,0.228,1055,0.045,SURFACED
1678722220.716,5.466,VALID,0.2,1054,0.076,SURFACED
1678722220.916,5.368,VALID,0.272,1053,0.075,SURFACED
1678722221.116,5.485,VALID,0.899,1052,0.067,SURFACED
