timestamp,DVL-filtered,validity,Echo,rpm,depth,Label
1676634286.156,6.539,VALID,29.764,0,0.006,SURFACED
1676634286.356,6.542,VALID,29.217,0,0.0,SURFACED
1676634286.556,6.541,VALID,30.0,0,0.045,SURFACED
1676634286.756,6.613,VALID,29.435,0,0.094,SURFACED
1676634286.956,6.502,VALID,30.0,0,0.048,SURFACED
1676634287.156,6.613,VALID,29.702,0,0.06,SURFACED
1676634287.356,6.537,VALID,29.604,0,0.0,SURFACED
1676634287.556,6.557,VALID,30.0,0,0.017,SURFACED
1676634287.756,6.572,VALID,30.0,0,0.079,SURFACED
1676634287.956,6.538,VALID,29.969,0,0.122,SURFACED
1676634288.156,6.639,VALID,30.0,0,0.069,SURFACED
1676634288.356,6.528,VALID,30.0,0,0.082,SURFACED
1676634288.556,6.494,VALID,29.812,0,0.081,SURFACED
1676634288.756,6.577,VALID,30.0,0,0.074,SURFACED
1676634288.956,6.46,VALID,30.0,0,0.0,SURFACED
1676634289.156,6.621,VALID,30.0,0,0.026,SURFACED
1676634289.356,6.556,VALID,29.705,0,0.073,SURFACED
1676634289.556,6.502,VALID,30.0,0,0.143,SURFACED
1676634289.756,6.505,VALID,29.906,0,0.035,SURFACED
1676634289.956,6.581,VALID,30.0,0,0.032,SURFACED
1676634290.156,6.579,VALID,30.0,0,0.025,SURFACED
1676634290.356,6.524,VALID,30.0,0,0.029,SURFACED
1676634290.556,6.511,VALID,30.0,0,0.0,SURFACED
1676634290.756,6.618,VALID,30.0,0,0.038,SURFACED
1676634290.956,6.574,VALID,29.89,0,0.068,SURFACED
1676634291.156,6.587,VALID,29.304,210,0.093,SURFACED
1676634291.356,6.587,VALID,14.344,276,0.04,SURFACED
1676634291.556,6.497,VALID,8.365,291,0.024,SURFACED
1676634291.756,6.526,VALID,5.209,307,0.0,SURFACED
1676634291.956,6.585,VALID,3.366,323,0.058,SURFACED
1676634292.156,6.429,VALID,2.744,338,0.126,SURFACED
1676634292.356,6.564,VALID,2.304,354,0.03,SURFACED
1676634292.556,6.584,VALID,2.017,370,0.053,SURFACED
1676634292.756,6.514,VALID,1.4,385,0.071,SURFACED
1676634292.956,6.557,VALID,1.404,401,0.035,SURFACED
1676634293.156,6.528,VALID,1.222,417,0.013,SURFACED
1676634293.356,6.562,VALID,0.996,432,0.018,SURFACED
1676634293.556,6.533,VALID,1.047,448,0.014,SURFACED
1676634293.756,6.557,VALID,1.141,464,0.24,SURFACED
1676634293.956,6.57,VALID,1.24,480,0.046,SURFACED
1676634294.156,6.555,VALID,1.108,495,0.09,SURFACED
1676634294.356,6.49,VALID,0.493,511,0.064,SURFACED
1676634294.556,6.031,VALID,0.449,527,0.0,SURFACED
1676634294.756,6.087,VALID,0.501,542,0.0,SURFACED
1676634294.956,5.93,VALID,0.702,558,0.0,SURFACED
1676634295.156,6.067,VALID,0.717,574,0.005,SURFACED
1676634295.356,6.046,VALID,0.513,589,0.112,SURFACED
1676634295.556,6.016,VALID,0.454,605,0.0,SURFACED
1676634295.756,6.139,VALID,0.2,621,0.08,SURFACED
1676634295.956,6.054,VALID,0.584,636,0.069,SURFACED
1676634296.156,6.114,VALID,0.36,652,0.057,SURFACED
1676634296.356,5.518,VALID,0.38,668,0.012,SURFACED
1676634296.556,5.457,VALID,0.743,683,0.086,SURFACED
1676634296.756,5.374,VALID,0.374,699,0.089,SURFACED
1676634296.956,5.398,VALID,0.2,715,0.05,SURFACED
1676634297.156,5.537,VALID,0.2,730,0.0,SURFACED
1676634297.356,5.168,VALID,0.59,746,0.015,SURFACED
1676634297.556,5.096,VALID,0.2,762,0.0,SURFACED
1676634297.756,5.2,VALID,0.518,777,0.077,SURFACED
1676634297.956,5.164,VALID,0.414,793,0.041,SURFACED
1676634298.156,5.132,VALID,0.46,809,0.051,SURFACED
1676634298.356,5.107,VALID,0.602,825,0.057,SURFACED
1676634298.556,5.23,VALID,0.2,840,0.019,SURFACED
1676634298.756,5.222,VALID,0.518,856,0.029,SURFACED
1676634298.956,5.17,VALID,0.2,872,0.037,SURFACED
1676634299.156,5.177,VALID,0.27,887,0.07,SURFACED
1676634299.356,5.139,VALID,0.206,903,0.035,SURFACED
1676634299.556,5.144,VALID,0.892,919,0.005,SURFACED
1676634299.756,5.481,VALID,0.2,934,0.0,SURFACED
1676634299.956,5.375,VALID,0.2,950,0.0,SURFACED
1676634300.156,5.473,VALID,0.654,966,0.03,SURFACED
1676634300.356,5.519,VALID,0.348,981,0.062,SURFACED
1676634300.556,5.44,VALID,0.821,997,0.075,SURFACED
1676634300.756,5.441,VALID,0.422,1013,0.018,SURFACED
1676634300.956,5.417,VALID,0.598,1028,0.0,SURFACED
1676634301.156,5.459,VALID,0.2,1044,0.073,SURFACED
1676634301.356,5.463,VALID,0.274,1060,0.089,SURFACED
1676634301.556,5.398,VALID,0.2,1071,0.0,SURFACED
1676634301.756,5.378,VALID,0.289,1071,0.018,SURFACED
1676634301.956,5.435,VALID,0.2,1070,0.046,SURFACED
1676634302.156,5.379,VALID,0.432,1069,0.084,SURFACED
1676634302.356,5.425,VALID,0.491,1068,0.019,SURFACED
1676634302.556,5.402,VALID,0.436,1067,0.097,SURFACED
1676634302.756,5.415,VALID,0.2,1065,0.078,SURFACED
1676634302.956,5.381,VALID,0.492,1064,0.112,SURFACED
1676634303.156,5.4,VALID,0.369,1063,0.007,SURFACED
1676634303.356,5.52,VALID,0.578,1061,0.0,SURFACED
1676634303.556,5.444,VALID,0.2,1060,0.076,SURFACED
1676634303.756,5.474,VALID,0.217,1059,0.049,SURFACED
1676634303.956,5.461,VALID,0.2,1058,0.001,SURFACED
1676634304.156,5.476,VALID,0.2,1057,0.12,SURFACED
1676634304.356,5.538,VALID,0.373,1055,0.06,SURFACED
1676634304.556,5.532,VALID,0.2,1054,0.066,SURFACED
1676634304.756,5.425,VALID,0.2,1053,0.112,SURFACED
1676634304.956,5.434,VALID,0.539,1052,0.0,SURFACED
1676634305.156,5.444,VALID,0.2,1051,0.014,SURFACED
1676634305.356,5.44,VALID,0.2,1049,0.0,SURFACED
1676634305.556,5.437,VALID,0.329,1048,0.019,SURFACED
1676634305.756,5.498,VALID,0.607,1047,0.021,SURFACED
1676634305.956,5.467,VALID,0.412,1045,0.087,SURFACED
1676634306.156,5.484,VALID,0.595,1044,0.095,SURFACED
1676634306.356,5.465,VALID,0.2,1043,0.091,SURFACED
1676634306.556,5.459,VALID,0.376,1041,0.131,SURFACED
1676634306.756,5.448,VALID,0.503,1040,0.11,SURFACED
1676634306.956,5.491,VALID,0.225,1039,0.06,SURFACED
1676634307.156,5.472,VALID,0.2,1037,0.036,SURFACED
1676634307.356,5.495,VALID,0.399,1036,0.055,SURFACED
1676634307.556,5.439,VALID,0.2,1035,0.111,SURFACED
1676634307.756,5.408,VALID,0.335,1034,0.095,SURFACED
1676634307.956,5.439,VALID,0.238,1033,0.101,SURFACED
1676634308.156,5.42,VALID,0.2,1031,0.168,SURFACED
1676634308.356,5.476,VALID,0.2,1030,0.0,SURFACED
1676634308.556,5.444,VALID,0.2,1029,0.055,SURFACED
1676634308.756,5.494,VALID,0.2,1028,0.073,SURFACED
1676634308.956,5.382,VALID,0.482,1027,0.076,SURFACED
1676634309.156,6.486,VALID,0.2,1025,0.063,SURFACED
1676634309.356,6.565,VALID,0.2,1024,0.027,SURFACED
1676634309.556,6.559,VALID,0.2,1023,0.017,SURFACED
1676634309.756,6.742,VALID,0.294,1022,0.095,SURFACED
1676634309.956,6.735,VALID,0.2,1021,0.024,SURFACED
1676634310.156,6.733,VALID,0.597,1019,0.099,SURFACED
1676634310.356,6.788,VALID,0.2,1018,0.029,SURFACED
1676634310.556,6.115,VALID,0.402,1017,0.117,SURFACED
1676634310.756,6.149,VALID,0.2,1016,0.151,SURFACED
1676634310.956,6.116,VALID,0.2,1015,0.044,SURFACED
1676634311.156,6.173,VALID,0.2,1014,0.083,SURFACED
1676634311.356,6.224,VALID,0.338,1012,0.011,SURFACED
1676634311.556,6.175,VALID,0.2,1011,0.022,SURFACED
1676634311.756,6.149,VALID,0.2,1010,0.046,SURFACED
1676634311.956,6.136,VALID,0.2,1009,0.014,SURFACED
1676634312.156,6.21,VALID,0.607,1008,0.054,SURFACED
1676634312.356,6.172,VALID,0.359,1007,0.005,SURFACED
1676634312.556,6.192,VALID,0.2,1006,0.031,SURFACED
1676634312.756,6.198,VALID,0.2,1005,0.018,SURFACED
1676634312.956,6.123,VALID,0.308,1004,0.0,SURFACED
